"RT @MeiItami: @TeenChoiceFOX My #TeenChoice for #ChoiceTVActor is Tom Ellis 
#Lucifer #savelucifer #pickuplucifer
#LuciferOnFox #TomEllis,negative"
"RT @MeiItami: @TeenChoiceFOX My #teenchoice for #choicedramaTVshow is Lucifer 
#savelucifer #pickuplucifer #bringbacklucifer,negative"
"RT @deckrstartastic: Never gonna be able to love a show as much as I love Lucifer. I don’t just love the show. I love the people who work o…,positive"
"RT @Lauralalylolita: TO READ
really well analyzed behaviour of Lucifer and @tomellis17 acting!
#SaveLucifer #PickUpLucifer 
@lucifansgroup1…,positive"
"RT @adreanu: NADA É FACIL NESSA VIDA
TUDO FICA MAIS GOSTOSO QUANDO VC LUTA PRA CONSEGUIR
NAO ADIANTA FICAR PARADO PQ SÓ OQ CAI DO CEU É CHU…,negative"
"RT @chris_rafferty: Someone was excited to do wirework for the first time in his career... #Lucifer #HighSchoolPoppycock https://t.co/KotOD…,positive"
"RT @chris_rafferty: The wait is over... #Lucifer is BACK! And you won't wanna miss a single moment of the first scene... trust me 😈 #HighSc…,positive"
"@mmsuyayuya 背脂かぁ
それも悪くはないんやけど、これじゃない感(´・ω・`),negative"
"@Guihong_jht @udonmarunomi @shinoji01 @Tchan0311 @11ooua @aojirubitter03 @3CfOQQR7plHG9gH @roiental630 @ADHmdoxjmZZoRgC @Cisibasi @Lucifer_lol @kitaro_sab @tonkohroh @FC8McFFAzts3dSM @x07VdlKEHZvp0I2 @huuryuu4 @javelin1211 @bfI8VX5J8SOzTC5 @enmaai_2014 @YZ1kraFMRN59TrL @TOMIU_OZEU_PARU @okayama_taro_1 @3SI0AUy36HmElpZ @ILflcGg8aWkA6xP @kutabarepayoku @takanohara_PS @anion789 @32_02hiroki0619 @Sato44333942 @kkkkkk315 たしかにあれは悪手,negative"
"RT @tomellis17: Thanks @spoilertv ✊😈#SaveLucifer https://t.co/DzgpL8zRUU,positive"
"RT @mixdeseries: Após cancelada: Lucifer voltará à Fox para exibição de dois ""episódios bônus""!  https://t.co/ZI7yMmYe0w | Mix de Series ht…,negative"
"RT @Henderson_Joe: My #TeenChoice nominee for #ChoiceDramaTVShow is #Lucifer 😈,negative"
"RT @EquipeLucifer: Cadê vocês Brasil? 🇧🇷
Ok, depois de mim repitam: 😈

Lucifer será salvo! #SaveLucifer #PickUpLucifer,positive"
"RT @RachaelEHarris: #Lucifer is the #1 most painful cut See why @TVLine post❤️ Then continue to fight for #SaveLucifer THERE IS TALKING GOI…,negative"
